Reference_Article	Code_Barre	Type_Article	Nom_Article	Dominant	Saison	Genre	Famille	Couleur	Marque	Nom_Fournisseur	Description	Declinaison	TauxTaxe_TVA	PrixVente_TTC	DateApplication_PrixVente	QteEnStock
5012202322007	5012222322049	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Washing Machine:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012222422046	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Washing Machine:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012222522043	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Washing Machine:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012222322056	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/BROWN	Modèle=Washing Machine:Taille=M:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012222422053	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/BROWN	Modèle=Washing Machine:Taille=M:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012222522050	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/BROWN	Modèle=Washing Machine:Taille=M:Couleur_Texture=BROWN:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012222322063	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/NAVY	Modèle=Washing Machine:Taille=M:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012222422060	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/NAVY	Modèle=Washing Machine:Taille=M:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012222522067	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/NAVY	Modèle=Washing Machine:Taille=M:Couleur_Texture=NAVY:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012222323046	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Washing Machine:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	13000	01/04/15	10
5012202322007	5012222423043	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Washing Machine:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12500	01/04/15	10
5012202322007	5012222523040	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Maille piquéeKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Washing Machine:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13500	01/04/15	10
5012202322007	5012222323053	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/BROWN	Modèle=Washing Machine:Taille=L:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	13000	01/04/15	10
5012202322007	5012222423050	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13L/BROWN	Modèle=Washing Machine:Taille=L:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12500	01/04/15	10
5012202322007	5012222523057	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Maille piquéeKin_13Pure SoieKin_13L/BROWN	Modèle=Washing Machine:Taille=L:Couleur_Texture=BROWN:Extras=Maille piquée	16	13500	01/04/15	10
5012202322007	5012222323060	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe fit Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/NAVY	Modèle=Washing Machine:Taille=L:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	13000	01/04/15	10
